transaction_id,customer_id,transaction_date,merchant_category,gross_amount,city,payment_mode,status,card_tier,cashback_rate,credit_limit,cashback_amount,net_transaction,transaction_year,transaction_month,transaction_quarter,day_of_week,utilisation_flag,txn_size_bucket,is_weekend,is_approved,is_outlier
TXN0000027,CUST00973,2023-07-19 05:34:00,Grocery,4183.49,Ahmedabad,Online,Approved,Gold,0.01,286043,41.83,4141.66,2023,7,3,Wednesday,0,Small (1K-5K),0,1,0
TXN0000028,CUST00334,2024-07-24 16:00:00,Travel,9933.82,Lucknow,Emi,Approved,Classic,0.005,84814,49.67,9884.15,2024,7,3,Wednesday,0,Medium (5K-15K),0,1,1
TXN0000029,CUST00993,2024-04-27 00:01:00,Grocery,3359.74,Chennai,Online,Approved,Classic,0.005,136846,16.8,3342.94,2024,4,2,Saturday,0,Small (1K-5K),1,1,0
TXN0000030,CUST00435,2023-11-28 02:44:00,Travel,14565.0,Hyderabad,Swipe,Approved,Classic,0.005,73206,72.82,14492.18,2023,11,4,Tuesday,0,Medium (5K-15K),0,1,1
TXN0000031,CUST00104,2023-02-12 05:33:00,Healthcare,3118.25,Hyderabad,Online,Approved,Gold,0.01,270285,31.18,3087.07,2023,2,1,Sunday,0,Small (1K-5K),1,1,0
TXN0000032,CUST00551,2024-05-14 09:21:00,Grocery,509.31,Chennai,Contactless,Approved,Gold,0.01,214184,5.09,504.22,2024,5,2,Tuesday,0,Micro (<1K),0,1,0
TXN0000033,CUST00512,2024-12-02 02:09:00,Dining,606.72,Hyderabad,Online,Approved,Classic,0.005,66683,3.03,603.69,2024,12,4,Monday,0,Micro (<1K),0,1,0
TXN0000034,CUST00712,2023-01-22 04:43:00,Dining,591.55,Bengaluru,Contactless,Approved,Gold,0.01,207138,5.92,585.63,2023,1,1,Sunday,0,Micro (<1K),1,1,0
TXN0000035,CUST00736,2023-06-13 23:45:00,Online Shopping,5705.13,Hyderabad,Online,Declined,Platinum,0.015,363467,85.58,5619.55,2023,6,2,Tuesday,0,Medium (5K-15K),0,0,0
TXN0000036,CUST00701,2024-11-02 00:05:00,Online Shopping,6173.95,Lucknow,Online,Approved,Gold,0.01,214823,61.74,6112.21,2024,11,4,Saturday,0,Medium (5K-15K),1,1,0
TXN0000037,CUST00707,2024-05-15 11:19:00,Grocery,1445.42,Chennai,Swipe,Approved,Classic,0.005,66544,7.23,1438.19,2024,5,2,Wednesday,0,Small (1K-5K),0,1,0
TXN0000038,CUST00042,2024-01-11 08:04:00,Fuel,2136.98,Delhi,Swipe,Approved,Gold,0.01,175353,21.37,2115.61,2024,1,1,Thursday,0,Small (1K-5K),0,1,0
TXN0000039,CUST00772,2024-02-12 08:33:00,Dining,1807.3,Kolkata,Swipe,Approved,Platinum,0.015,543641,27.11,1780.19,2024,2,1,Monday,0,Small (1K-5K),0,1,0
TXN0000040,CUST00338,2024-05-25 19:08:00,Dining,1870.38,Chennai,Online,Approved,Gold,0.01,269858,18.7,1851.68,2024,5,2,Saturday,0,Small (1K-5K),1,1,0
TXN0000041,CUST00824,2024-11-05 22:04:00,Fuel,1590.41,Jaipur,Contactless,Approved,Classic,0.005,75242,7.95,1582.46,2024,11,4,Tuesday,0,Small (1K-5K),0,1,0
TXN0000042,CUST00758,2023-02-26 08:25:00,Online Shopping,8595.14,Pune,Contactless,Reversed,Gold,0.01,286772,85.95,8509.19,2023,2,1,Sunday,0,Medium (5K-15K),1,0,0
TXN0000043,CUST00808,2024-03-01 04:55:00,Online Shopping,6194.69,Mumbai,Swipe,Approved,Platinum,0.015,493472,92.92,6101.77,2024,3,1,Friday,0,Medium (5K-15K),0,1,0
TXN0000044,CUST00753,2024-04-22 10:41:00,Electronics,18657.75,Jaipur,Online,Approved,Gold,0.01,270517,186.58,18471.17,2024,4,2,Monday,0,Large (15K-50K),0,1,1
TXN0000045,CUST00368,2023-01-19 03:22:00,Dining,1333.05,Chennai,Online,Approved,Platinum,0.015,354309,20.0,1313.05,2023,1,1,Thursday,0,Small (1K-5K),0,1,0
TXN0000046,CUST00644,2023-06-25 12:43:00,Fuel,1533.15,Jaipur,Online,Approved,Classic,0.005,121582,7.67,1525.48,2023,6,2,Sunday,0,Small (1K-5K),1,1,0
TXN0000047,CUST00972,2024-11-27 18:28:00,Dining,2158.11,Mumbai,Online,Approved,Platinum,0.015,546677,32.37,2125.74,2024,11,4,Wednesday,0,Small (1K-5K),0,1,0
TXN0000048,CUST00900,2023-09-16 08:10:00,Electronics,13736.05,Delhi,Swipe,Approved,Classic,0.005,77235,68.68,13667.37,2023,9,3,Saturday,0,Medium (5K-15K),1,1,1
TXN0000049,CUST00984,2023-02-22 07:55:00,Dining,1920.36,Bengaluru,Emi,Approved,Classic,0.005,103523,9.6,1910.76,2023,2,1,Wednesday,0,Small (1K-5K),0,1,0
TXN0000050,CUST00461,2024-02-12 01:30:00,Healthcare,100.0,Chennai,Emi,Approved,Classic,0.005,86517,0.5,99.5,2024,2,1,Monday,0,Micro (<1K),0,1,0
TXN0000051,CUST00736,2024-07-01 10:18:00,Dining,1323.19,Pune,Swipe,Approved,Platinum,0.015,363467,19.85,1303.34,2024,7,3,Monday,0,Small (1K-5K),0,1,0
TXN0000052,CUST00927,2024-07-09 06:12:00,Grocery,2369.09,Chennai,Contactless,Approved,Classic,0.005,127304,11.85,2357.24,2024,7,3,Tuesday,0,Small (1K-5K),0,1,0
TXN0000053,CUST00831,2023-01-14 18:23:00,Online Shopping,6919.53,Mumbai,Swipe,Approved,Classic,0.005,78361,34.6,6884.93,2023,1,1,Saturday,0,Medium (5K-15K),1,1,0
TXN0000054,CUST00587,2024-06-03 15:09:00,Grocery,1393.21,Hyderabad,Swipe,Approved,Classic,0.005,144276,6.97,1386.24,2024,6,2,Monday,0,Small (1K-5K),0,1,0
TXN0000055,CUST00879,2023-09-01 22:35:00,Electronics,4627.5,Pune,Emi,Approved,Classic,0.005,69555,23.14,4604.36,2023,9,3,Friday,0,Small (1K-5K),0,1,0
TXN0000056,CUST00174,2023-08-10 12:34:00,Dining,2200.25,Hyderabad,Online,Approved,Classic,0.005,81385,11.0,2189.25,2023,8,3,Thursday,0,Small (1K-5K),0,1,0
TXN0000057,CUST00745,2024-12-25 20:00:00,Grocery,2423.13,Hyderabad,Online,Approved,Classic,0.005,116317,12.12,2411.01,2024,12,4,Wednesday,0,Small (1K-5K),0,1,0
TXN0000058,CUST00992,2024-03-12 01:50:00,Grocery,433.57,Chennai,Online,Approved,Gold,0.01,225554,4.34,429.23,2024,3,1,Tuesday,0,Micro (<1K),0,1,0
TXN0000059,CUST00746,2023-04-01 08:21:00,Grocery,493.41,Ahmedabad,Contactless,Approved,Platinum,0.015,478903,7.4,486.01,2023,4,2,Saturday,0,Micro (<1K),1,1,0
TXN0000060,CUST00551,2024-04-01 19:09:00,Entertainment,1047.19,Chennai,Contactless,Approved,Gold,0.01,214184,10.47,1036.72,2024,4,2,Monday,0,Small (1K-5K),0,1,0
TXN0000061,CUST00511,2023-08-23 04:25:00,Dining,1724.63,Kolkata,Swipe,Approved,Gold,0.01,295335,17.25,1707.38,2023,8,3,Wednesday,0,Small (1K-5K),0,1,0
TXN0000062,CUST00003,2024-05-12 02:17:00,Online Shopping,7973.21,Ahmedabad,Contactless,Approved,Gold,0.01,156556,79.73,7893.48,2024,5,2,Sunday,0,Medium (5K-15K),1,1,0
TXN0000063,CUST00414,2024-11-10 17:21:00,Healthcare,1337.72,Pune,Contactless,Approved,Gold,0.01,188821,13.38,1324.34,2024,11,4,Sunday,0,Small (1K-5K),1,1,0
TXN0000064,CUST00311,2024-05-27 22:06:00,Travel,15232.66,Pune,Online,Approved,Classic,0.005,60500,76.16,15156.5,2024,5,2,Monday,0,Large (15K-50K),0,1,1
TXN0000065,CUST00503,2024-09-27 20:29:00,Healthcare,100.0,Delhi,Online,Declined,Classic,0.005,144339,0.5,99.5,2024,9,3,Friday,0,Micro (<1K),0,0,0
TXN0000066,CUST00019,2023-01-08 03:23:00,Electronics,21248.65,Lucknow,Swipe,Approved,Classic,0.005,128907,106.24,21142.41,2023,1,1,Sunday,0,Large (15K-50K),1,1,1
TXN0000067,CUST00659,2023-02-15 23:06:00,Fuel,3405.27,Chennai,Swipe,Approved,Gold,0.01,193265,34.05,3371.22,2023,2,1,Wednesday,0,Small (1K-5K),0,1,0
TXN0000068,CUST00912,2024-08-02 13:31:00,Dining,1927.53,Mumbai,Online,Declined,Classic,0.005,103545,9.64,1917.89,2024,8,3,Friday,0,Small (1K-5K),0,0,0
TXN0000069,CUST00216,2024-09-15 15:42:00,Dining,1198.65,Jaipur,Contactless,Approved,Classic,0.005,142778,5.99,1192.66,2024,9,3,Sunday,0,Small (1K-5K),1,1,0
TXN0000070,CUST00813,2023-05-16 00:39:00,Online Shopping,7581.34,Kolkata,Contactless,Approved,Classic,0.005,105771,37.91,7543.43,2023,5,2,Tuesday,0,Medium (5K-15K),0,1,0
TXN0000071,CUST00377,2023-05-13 11:04:00,Online Shopping,5372.2,Delhi,Online,Approved,Platinum,0.015,447721,80.58,5291.62,2023,5,2,Saturday,0,Medium (5K-15K),1,1,0
TXN0000072,CUST00623,2024-08-08 04:02:00,Online Shopping,4883.99,Pune,Contactless,Approved,Classic,0.005,103424,24.42,4859.57,2024,8,3,Thursday,0,Small (1K-5K),0,1,0
TXN0000073,CUST00642,2023-05-03 17:09:00,Travel,5893.6,Lucknow,Contactless,Approved,Classic,0.005,147978,29.47,5864.13,2023,5,2,Wednesday,0,Medium (5K-15K),0,1,0
TXN0000074,CUST00567,2024-07-16 23:46:00,Fuel,2491.02,Jaipur,Online,Approved,Classic,0.005,148430,12.46,2478.56,2024,7,3,Tuesday,0,Small (1K-5K),0,1,0
TXN0000075,CUST00657,2023-12-28 04:15:00,Travel,7891.7,Chennai,Swipe,Approved,Classic,0.005,102994,39.46,7852.24,2023,12,4,Thursday,0,Medium (5K-15K),0,1,0
TXN0000076,CUST00531,2023-08-21 22:09:00,Travel,13868.65,Bengaluru,Online,Declined,Platinum,0.015,543787,208.03,13660.62,2023,8,3,Monday,0,Medium (5K-15K),0,0,1
TXN0000077,CUST00507,2024-08-01 14:53:00,Grocery,2558.25,Lucknow,Swipe,Approved,Platinum,0.015,514115,38.37,2519.88,2024,8,3,Thursday,0,Small (1K-5K),0,1,0
TXN0000078,CUST00402,2023-01-04 08:36:00,Healthcare,5668.23,Hyderabad,Swipe,Approved,Platinum,0.015,524231,85.02,5583.21,2023,1,1,Wednesday,0,Medium (5K-15K),0,1,0
TXN0000079,CUST00960,2024-10-24 06:48:00,Grocery,1808.79,Bengaluru,Swipe,Approved,Gold,0.01,234494,18.09,1790.7,2024,10,4,Thursday,0,Small (1K-5K),0,1,0
TXN0000080,CUST00954,2024-05-03 18:21:00,Dining,1665.59,Mumbai,Contactless,Approved,Platinum,0.015,529511,24.98,1640.61,2024,5,2,Friday,0,Small (1K-5K),0,1,0
TXN0000081,CUST00185,2024-06-01 05:37:00,Entertainment,2058.82,Lucknow,Swipe,Approved,Classic,0.005,66828,10.29,2048.53,2024,6,2,Saturday,0,Small (1K-5K),1,1,0
TXN0000082,CUST00559,2023-04-16 10:34:00,Grocery,2216.75,Kolkata,Online,Approved,Platinum,0.015,501315,33.25,2183.5,2023,4,2,Sunday,0,Small (1K-5K),1,1,0
TXN0000083,CUST00068,2024-10-08 11:58:00,Grocery,2474.17,Ahmedabad,Emi,Approved,Platinum,0.015,537717,37.11,2437.06,2024,10,4,Tuesday,0,Small (1K-5K),0,1,0
TXN0000084,CUST00568,2023-11-27 03:04:00,Grocery,2011.92,Delhi,Contactless,Approved,Classic,0.005,63970,10.06,2001.86,2023,11,4,Monday,0,Small (1K-5K),0,1,0
TXN0000085,CUST00536,2024-03-15 06:51:00,Online Shopping,4090.89,Ahmedabad,Contactless,Approved,Platinum,0.015,548085,61.36,4029.53,2024,3,1,Friday,0,Small (1K-5K),0,1,0
TXN0000086,CUST00201,2024-09-10 20:28:00,Electronics,24038.62,Jaipur,Swipe,Approved,Gold,0.01,264845,240.39,23798.23,2024,9,3,Tuesday,0,Large (15K-50K),0,1,1
TXN0000087,CUST00585,2023-03-27 09:38:00,Travel,23015.47,Kolkata,Online,Approved,Gold,0.01,266017,230.15,22785.32,2023,3,1,Monday,0,Large (15K-50K),0,1,1
TXN0000088,CUST00473,2023-06-18 00:57:00,Entertainment,325.05,Mumbai,Online,Approved,Classic,0.005,73405,1.63,323.42,2023,6,2,Sunday,0,Micro (<1K),1,1,0
TXN0000089,CUST00979,2024-04-22 10:53:00,Entertainment,614.49,Hyderabad,Online,Approved,Gold,0.01,264264,6.14,608.35,2024,4,2,Monday,0,Micro (<1K),0,1,0
TXN0000090,CUST00568,2024-04-15 09:44:00,Dining,1672.67,Kolkata,Online,Approved,Classic,0.005,63970,8.36,1664.31,2024,4,2,Monday,0,Small (1K-5K),0,1,0
TXN0000091,CUST00205,2023-04-24 09:58:00,Fuel,2239.72,Pune,Online,Approved,Gold,0.01,214986,22.4,2217.32,2023,4,2,Monday,0,Small (1K-5K),0,1,0
TXN0000092,CUST00847,2023-07-07 09:35:00,Fuel,2025.88,Ahmedabad,Emi,Approved,Classic,0.005,120010,10.13,2015.75,2023,7,3,Friday,0,Small (1K-5K),0,1,0
TXN0000093,CUST00379,2024-04-23 07:37:00,Healthcare,2393.44,Pune,Online,Approved,Platinum,0.015,410430,35.9,2357.54,2024,4,2,Tuesday,0,Small (1K-5K),0,1,0
TXN0000094,CUST00224,2024-02-26 05:24:00,Grocery,1021.17,Lucknow,Swipe,Approved,Classic,0.005,117391,5.11,1016.06,2024,2,1,Monday,0,Small (1K-5K),0,1,0
TXN0000095,CUST00475,2023-05-14 11:38:00,Entertainment,1072.46,Pune,Online,Declined,Gold,0.01,160028,10.72,1061.74,2023,5,2,Sunday,0,Small (1K-5K),1,0,0
TXN0000096,CUST00452,2023-03-23 16:59:00,Electronics,25355.13,Lucknow,Online,Approved,Gold,0.01,270665,253.55,25101.58,2023,3,1,Thursday,0,Large (15K-50K),0,1,1
TXN0000097,CUST00315,2024-07-12 07:44:00,Dining,1883.76,Pune,Swipe,Approved,Platinum,0.015,335631,28.26,1855.5,2024,7,3,Friday,0,Small (1K-5K),0,1,0
TXN0000098,CUST00420,2023-03-13 05:19:00,Travel,16053.37,Kolkata,Contactless,Approved,Platinum,0.015,320916,240.8,15812.57,2023,3,1,Monday,0,Large (15K-50K),0,1,1
TXN0000099,CUST00799,2024-10-30 18:50:00,Grocery,1055.9,Chennai,Online,Approved,Gold,0.01,278665,10.56,1045.34,2024,10,4,Wednesday,0,Small (1K-5K),0,1,0
TXN0000100,CUST00332,2024-04-26 23:28:00,Grocery,4232.97,Jaipur,Online,Approved,Platinum,0.015,464722,63.49,4169.48,2024,4,2,Friday,0,Small (1K-5K),0,1,0
TXN0000101,CUST00563,2023-08-30 20:27:00,Fuel,1750.49,Kolkata,Online,Approved,Classic,0.005,69342,8.75,1741.74,2023,8,3,Wednesday,0,Small (1K-5K),0,1,0
TXN0000102,CUST00485,2024-12-26 14:30:00,Grocery,3070.24,Mumbai,Contactless,Approved,Gold,0.01,199828,30.7,3039.54,2024,12,4,Thursday,0,Small (1K-5K),0,1,0
TXN0000103,CUST00008,2023-06-25 08:19:00,Travel,11249.52,Jaipur,Emi,Approved,Platinum,0.015,353736,168.74,11080.78,2023,6,2,Sunday,0,Medium (5K-15K),1,1,1
TXN0000104,CUST00544,2023-07-15 20:19:00,Electronics,13139.87,Pune,Swipe,Approved,Gold,0.01,211569,131.4,13008.47,2023,7,3,Saturday,0,Medium (5K-15K),1,1,1
TXN0000105,CUST00749,2023-07-22 20:56:00,Grocery,3019.38,Ahmedabad,Online,Approved,Platinum,0.015,557006,45.29,2974.09,2023,7,3,Saturday,0,Small (1K-5K),1,1,0
TXN0000106,CUST00867,2023-12-17 09:39:00,Online Shopping,6001.27,Jaipur,Swipe,Approved,Classic,0.005,56734,30.01,5971.26,2023,12,4,Sunday,0,Medium (5K-15K),1,1,0
TXN0000107,CUST00176,2024-04-18 16:31:00,Dining,4219.21,Delhi,Contactless,Approved,Classic,0.005,81571,21.1,4198.11,2024,4,2,Thursday,0,Small (1K-5K),0,1,0
TXN0000108,CUST00430,2023-06-18 19:55:00,Dining,2375.34,Delhi,Online,Approved,Classic,0.005,131351,11.88,2363.46,2023,6,2,Sunday,0,Small (1K-5K),1,1,0
TXN0000109,CUST00492,2024-01-21 11:30:00,Dining,2361.84,Chennai,Contactless,Approved,Gold,0.01,291151,23.62,2338.22,2024,1,1,Sunday,0,Small (1K-5K),1,1,0
TXN0000110,CUST00419,2023-04-23 10:57:00,Dining,2830.39,Chennai,Emi,Approved,Gold,0.01,245591,28.3,2802.09,2023,4,2,Sunday,0,Small (1K-5K),1,1,0
TXN0000111,CUST00537,2024-02-20 22:54:00,Grocery,3138.22,Lucknow,Online,Approved,Platinum,0.015,388967,47.07,3091.15,2024,2,1,Tuesday,0,Small (1K-5K),0,1,0
TXN0000112,CUST00533,2023-11-11 07:57:00,Fuel,2169.03,Lucknow,Swipe,Approved,Infinite,0.02,1063638,43.38,2125.65,2023,11,4,Saturday,0,Small (1K-5K),1,1,0
TXN0000113,CUST00646,2024-06-14 21:41:00,Online Shopping,5314.31,Delhi,Online,Approved,Platinum,0.015,415625,79.71,5234.6,2024,6,2,Friday,0,Medium (5K-15K),0,1,0
TXN0000114,CUST00849,2023-02-14 05:39:00,Dining,2569.33,Lucknow,Swipe,Approved,Gold,0.01,221909,25.69,2543.64,2023,2,1,Tuesday,0,Small (1K-5K),0,1,0
TXN0000115,CUST00152,2024-08-08 01:48:00,Healthcare,6281.53,Hyderabad,Contactless,Approved,Classic,0.005,115612,31.41,6250.12,2024,8,3,Thursday,0,Medium (5K-15K),0,1,0
TXN0000116,CUST00069,2023-08-20 08:59:00,Fuel,991.45,Jaipur,Swipe,Approved,Classic,0.005,133320,4.96,986.49,2023,8,3,Sunday,0,Micro (<1K),1,1,0
TXN0000117,CUST00801,2024-06-30 20:01:00,Entertainment,176.83,Hyderabad,Online,Approved,Gold,0.01,154520,1.77,175.06,2024,6,2,Sunday,0,Micro (<1K),1,1,0
TXN0000118,CUST00915,2024-10-18 09:08:00,Travel,20090.25,Mumbai,Swipe,Approved,Gold,0.01,273184,200.9,19889.35,2024,10,4,Friday,0,Large (15K-50K),0,1,1
TXN0000119,CUST00335,2023-10-28 15:37:00,Dining,1082.29,Chennai,Swipe,Approved,Classic,0.005,101876,5.41,1076.88,2023,10,4,Saturday,0,Small (1K-5K),1,1,0
TXN0000120,CUST00126,2024-03-04 01:40:00,Dining,307.86,Delhi,Swipe,Approved,Classic,0.005,139192,1.54,306.32,2024,3,1,Monday,0,Micro (<1K),0,1,0
TXN0000121,CUST00724,2023-02-01 23:03:00,Fuel,798.43,Pune,Online,Approved,Gold,0.01,156731,7.98,790.45,2023,2,1,Wednesday,0,Micro (<1K),0,1,0
TXN0000122,CUST00842,2024-08-04 09:00:00,Entertainment,2761.29,Mumbai,Swipe,Approved,Gold,0.01,244602,27.61,2733.68,2024,8,3,Sunday,0,Small (1K-5K),1,1,0
TXN0000123,CUST00802,2024-09-07 02:26:00,Grocery,3553.14,Kolkata,Online,Approved,Classic,0.005,62196,17.77,3535.37,2024,9,3,Saturday,0,Small (1K-5K),1,1,0
TXN0000124,CUST00963,2024-12-16 11:30:00,Dining,1084.42,Kolkata,Online,Approved,Classic,0.005,53390,5.42,1079.0,2024,12,4,Monday,0,Small (1K-5K),0,1,0
TXN0000125,CUST00476,2023-08-22 15:26:00,Online Shopping,2615.61,Hyderabad,Emi,Approved,Infinite,0.02,713668,52.31,2563.3,2023,8,3,Tuesday,0,Small (1K-5K),0,1,0
TXN0000126,CUST00535,2023-05-11 09:56:00,Entertainment,1538.4,Jaipur,Contactless,Approved,Platinum,0.015,568002,23.08,1515.32,2023,5,2,Thursday,0,Small (1K-5K),0,1,0
TXN0000127,CUST00955,2023-06-21 12:24:00,Online Shopping,6648.48,Bengaluru,Online,Approved,Classic,0.005,60543,33.24,6615.24,2023,6,2,Wednesday,0,Medium (5K-15K),0,1,0
TXN0000128,CUST00936,2024-12-12 22:53:00,Fuel,1964.79,Chennai,Contactless,Approved,Classic,0.005,68643,9.82,1954.97,2024,12,4,Thursday,0,Small (1K-5K),0,1,0
TXN0000129,CUST00678,2023-05-22 04:23:00,Dining,1092.57,Chennai,Online,Approved,Classic,0.005,99689,5.46,1087.11,2023,5,2,Monday,0,Small (1K-5K),0,1,0
TXN0000130,CUST00366,2023-09-25 19:09:00,Healthcare,5770.09,Ahmedabad,Online,Reversed,Classic,0.005,89240,28.85,5741.24,2023,9,3,Monday,0,Medium (5K-15K),0,0,0
TXN0000131,CUST00673,2023-02-03 07:26:00,Healthcare,3448.32,Lucknow,Online,Approved,Classic,0.005,67786,17.24,3431.08,2023,2,1,Friday,0,Small (1K-5K),0,1,0
TXN0000132,CUST00146,2024-09-05 07:03:00,Grocery,2270.05,Lucknow,Online,Approved,Classic,0.005,106985,11.35,2258.7,2024,9,3,Thursday,0,Small (1K-5K),0,1,0
TXN0000133,CUST00366,2024-09-01 02:45:00,Electronics,23329.12,Hyderabad,Contactless,Approved,Classic,0.005,89240,116.65,23212.47,2024,9,3,Sunday,0,Large (15K-50K),1,1,1
TXN0000134,CUST00940,2023-10-02 20:03:00,Fuel,490.93,Mumbai,Swipe,Approved,Gold,0.01,230638,4.91,486.02,2023,10,4,Monday,0,Micro (<1K),0,1,0
TXN0000135,CUST00881,2023-04-13 21:21:00,Grocery,3068.96,Chennai,Online,Approved,Classic,0.005,89824,15.34,3053.62,2023,4,2,Thursday,0,Small (1K-5K),0,1,0
TXN0000136,CUST00599,2023-06-01 14:15:00,Fuel,2528.73,Mumbai,Online,Approved,Classic,0.005,86347,12.64,2516.09,2023,6,2,Thursday,0,Small (1K-5K),0,1,0
TXN0000137,CUST00785,2023-04-22 22:07:00,Healthcare,742.17,Bengaluru,Contactless,Approved,Classic,0.005,94608,3.71,738.46,2023,4,2,Saturday,0,Micro (<1K),1,1,0
TXN0000138,CUST00527,2024-04-16 05:52:00,Online Shopping,100.0,Pune,Swipe,Approved,Classic,0.005,77549,0.5,99.5,2024,4,2,Tuesday,0,Micro (<1K),0,1,0
